Year;Problem #;Is_visual;is_MC;GPT-4o;GPT-4;CoPilot
2006;1;1;1;0;0;1
2006;2;1;1;0;0;1
2006;3;0;1;0;0;0
2006;4;0;1;0;0;1
2006;5;0;1;0;1;0
2006;6;1;1;1;1;1
2006;7;0;1;0;0;0
2006;8;1;1;0;0;0
2006;9;0;1;0;1;1
2006;10;0;1;1;1;0
2006;11;0;1;1;0;1
2006;12;0;1;1;0;0
2006;13;0;1;1;1;1
2006;14;1;1;1;0;0
2006;15;0;1;1;0;0
2006;16;0;1;0;0;1
2006;17;1;1;1;0;0
2006;18;0;1;0;0;1
2006;19;0;1;1;1;1
2006;20;1;1;0;0;1
2007;1;NaN;NaN;NaN;NaN;NaN
2007;2;NaN;NaN;NaN;NaN;NaN
2007;3;NaN;NaN;NaN;NaN;NaN
2007;4;NaN;NaN;NaN;NaN;NaN
2007;5;NaN;NaN;NaN;NaN;NaN
2007;6;NaN;NaN;NaN;NaN;NaN
2007;7;NaN;NaN;NaN;NaN;NaN
2007;8;NaN;NaN;NaN;NaN;NaN
2007;9;NaN;NaN;NaN;NaN;NaN
2007;10;NaN;NaN;NaN;NaN;NaN
2007;11;NaN;NaN;NaN;NaN;NaN
2007;12;NaN;NaN;NaN;NaN;NaN
2007;13;NaN;NaN;NaN;NaN;NaN
2007;14;NaN;NaN;NaN;NaN;NaN
2007;15;NaN;NaN;NaN;NaN;NaN
2007;16;NaN;NaN;NaN;NaN;NaN
2007;17;NaN;NaN;NaN;NaN;NaN
2007;18;NaN;NaN;NaN;NaN;NaN
2007;19;NaN;NaN;NaN;NaN;NaN
2007;20;NaN;NaN;NaN;NaN;NaN
2008;1;1;1;0;0;1
2008;2;0;1;0;1;0
2008;3;1;1;1;0;0
2008;4;0;1;0;0;0
2008;5;0;1;0;0;0
2008;6;0;1;0;0;0
2008;7;1;1;1;1;1
2008;8;0;1;1;0;0
2008;9;0;1;1;1;0
2008;10;1;1;0;1;0
2008;11;0;1;1;0;0
2008;12;0;1;1;1;0
2008;13;1;1;1;0;1
2008;14;0;1;1;0;0
2008;15;0;1;0;0;0
2008;16;0;1;0;1;0
2008;17;1;1;0;0;0
2008;18;0;1;1;0;0
2008;19;1;1;0;0;0
2008;20;0;1;1;1;0
2009;1;0;1;0;1;1
2009;2;1;1;1;0;0
2009;3;1;1;0;0;1
2009;4;0;1;0;0;1
2009;5;1;1;0;1;1
2009;6;0;1;0;0;0
2009;7;0;1;0;1;0
2009;8;1;1;0;0;0
2009;9;0;1;0;0;0
2009;10;0;1;1;0;1
2009;11;0;1;1;1;1
2009;12;1;1;1;0;0
2009;13;0;1;0;0;0
2009;14;1;1;1;0;0
2009;15;0;1;1;0;0
2009;16;0;1;0;0;0
2009;17;0;1;0;0;0
2009;18;0;1;0;0;1
2009;19;0;1;1;0;0
2009;20;1;1;0;0;1
2010;1;0;1;1;1;0
2010;2;0;1;1;1;1
2010;3;0;1;0;0;0
2010;4;1;1;0;0;0
2010;5;1;1;0;0;0
2010;6;0;1;0;0;0
2010;7;0;1;0;0;0
2010;8;1;1;0;0;0
2010;9;0;1;1;1;1
2010;10;0;1;0;0;1
2010;11;1;1;0;0;0
2010;12;0;1;0;0;0
2010;13;1;1;0;0;0
2010;14;0;1;0;0;1
2010;15;1;1;0;0;1
2010;16;0;1;0;0;1
2010;17;0;1;1;0;0
2010;18;0;1;0;0;0
2010;19;0;1;1;1;0
2010;20;1;1;1;0;1
2011;1;0;1;0;0;0
2011;2;1;1;0;0;0
2011;3;0;1;0;0;0
2011;4;1;1;0;0;0
2011;5;1;1;1;1;1
2011;6;1;1;0;0;0
2011;7;1;1;0;0;1
2011;8;0;1;0;0;0
2011;9;0;1;0;0;0
2011;10;1;1;0;0;0
2011;11;0;1;0;0;0
2011;12;1;1;0;0;0
2011;13;0;1;0;0;0
2011;14;0;1;1;0;0
2011;15;0;1;0;0;0
2011;16;1;1;1;0;0
2011;17;1;1;0;0;0
2011;18;0;1;0;0;1
2011;19;0;1;1;0;0
2011;20;0;1;1;0;0
2012;1;0;1;0;0;1
2012;2;1;1;0;0;0
2012;3;0;1;0;0;1
2012;4;1;1;0;0;0
2012;5;0;1;0;0;1
2012;6;0;1;0;1;1
2012;7;0;1;0;0;0
2012;8;1;1;0;0;0
2012;9;0;1;0;0;0
2012;10;1;1;0;1;1
2012;11;0;1;0;0;0
2012;12;1;1;0;0;0
2012;13;1;1;0;0;0
2012;14;1;1;1;0;0
2012;15;0;1;0;0;1
2012;16;1;1;0;0;0
2012;17;0;1;1;0;0
2012;18;1;1;1;0;0
2012;19;0;1;0;0;0
2012;20;1;1;1;1;0
2013;1;0;1;1;1;1
2013;2;0;1;0;0;0
2013;3;1;1;0;0;0
2013;4;1;1;0;0;1
2013;5;0;1;1;1;1
2013;6;1;1;0;0;0
2013;7;1;1;1;0;0
2013;8;1;1;0;1;1
2013;9;1;1;0;1;0
2013;10;0;1;1;0;0
2013;11;0;0;0;0;0
2013;12;0;0;0;0;1
2013;13;1;0;0;1;0
2013;14;0;0;0;0;0
2013;15;1;0;0;0;0
2013;16;1;0;0;1;0
2013;17;0;0;0;0;0
2013;18;0;0;0;0;0
2013;19;1;0;0;0;0
2013;20;0;0;0;0;1
2014;1;1;1;0;0;0
2014;2;1;1;0;1;1
2014;3;1;1;1;1;1
2014;4;1;1;0;0;0
2014;5;1;1;0;0;1
2014;6;0;1;1;0;1
2014;7;1;1;0;0;0
2014;8;0;1;1;0;1
2014;9;0;1;1;0;1
2014;10;0;1;1;0;1
2014;11;0;0;0;0;0
2014;12;0;0;0;0;0
2014;13;1;0;1;1;1
2014;14;0;0;0;0;0
2014;15;0;0;0;0;0
2014;16;1;0;0;0;0
2014;17;0;0;0;0;0
2014;18;0;0;0;0;0
2014;19;0;0;0;0;0
2014;20;0;0;0;0;0
2015;1;1;1;0;0;0
2015;2;1;1;0;0;0
2015;3;0;1;0;0;0
2015;4;0;1;0;0;1
2015;5;0;1;1;1;1
2015;6;0;1;0;0;0
2015;7;1;1;0;0;0
2015;8;1;1;1;1;1
2015;9;1;1;1;0;0
2015;10;0;1;1;1;1
2015;11;0;0;0;0;0
2015;12;0;0;0;0;0
2015;13;0;0;0;0;0
2015;14;1;0;0;0;0
2015;15;1;0;0;0;0
2015;16;1;0;0;0;0
2015;17;1;0;0;0;0
2015;18;1;0;1;0;0
2015;19;0;0;0;0;0
2015;20;0;0;0;0;0
2016;1;1;1;0;0;0
2016;2;0;1;1;0;1
2016;3;0;1;1;1;0
2016;4;0;1;0;0;0
2016;5;1;1;0;1;1
2016;6;0;1;0;0;0
2016;7;0;1;0;0;1
2016;8;0;1;1;1;0
2016;9;1;1;0;0;1
2016;10;1;1;1;0;0
2016;11;0;0;0;0;0
2016;12;1;0;0;0;0
2016;13;0;0;0;0;0
2016;14;0;0;0;0;0
2016;15;0;0;0;0;0
2016;16;0;0;0;0;0
2016;17;1;0;0;0;0
2016;18;0;0;0;0;0
2016;19;0;0;0;0;0
2016;20;1;0;0;0;0
2017;1;0;1;0;1;1
2017;2;1;1;0;0;1
2017;3;1;1;0;0;0
2017;4;0;1;0;0;0
2017;5;0;1;1;1;1
2017;6;1;1;1;0;0
2017;7;0;1;0;0;0
2017;8;0;1;0;0;0
2017;9;1;1;0;0;0
2017;10;1;1;0;0;1
2017;11;1;0;1;1;1
2017;12;0;0;1;0;0
2017;13;0;0;1;0;0
2017;14;0;0;0;0;0
2017;15;0;0;1;0;0
2017;16;1;0;0;0;0
2017;17;0;0;0;0;0
2017;18;0;0;0;1;1
2017;19;0;0;1;1;0
2017;20;0;0;0;1;0
2018;1;1;1;0;0;0
2018;2;0;1;0;0;0
2018;3;1;1;0;0;0
2018;4;0;1;0;0;1
2018;5;1;1;0;0;0
2018;6;0;1;1;0;1
2018;7;1;1;0;1;0
2018;8;1;1;0;1;0
2018;9;0;1;0;0;0
2018;10;0;0;0;0;0
2018;11;1;0;0;0;0
2018;12;1;0;0;0;0
2018;13;1;0;1;0;0
2018;14;0;0;1;0;0
2018;15;1;0;0;0;0
2018;16;0;0;0;0;0
2018;17;1;0;0;0;0
2018;18;0;0;0;0;0
2018;19;0;0;0;0;0
2018;20;0;0;0;0;0
2019;1;1;1;0;1;0
2019;2;0;1;0;1;1
2019;3;1;1;1;0;0
2019;4;0;1;0;0;0
2019;5;0;1;0;0;0
2019;6;1;1;0;1;1
2019;7;0;1;0;0;0
2019;8;1;1;1;0;0
2019;9;1;1;0;0;1
2019;10;0;1;0;0;1
2019;11;1;0;0;0;0
2019;12;0;0;0;1;0
